Problem,,,Constructive algorithm,,,LocalSearch,,GRASP-50,,GRASP-100,,GRASP-200,,GRASP-300,,Known best solution or upper bound,Best Values
name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Average value,No. of iterations,GRASP-50 Val,Iterations,GRASP-100 Val,Iterations,GRASP-200 Val,Iterations,GRASP-300 Val,Iterations,Best,Given Best
g17,800,4667,2337.46,2887,2904,2945,5,2970,50,2972,100,2977,200,2973,300,2977,n/a
g18,800,4694,33.33,807,705,866.2,5,885,50,884,100,900,200,879,300,900,n/a
g19,800,4661,-58.85,743,646,791.6,5,785,50,800,100,803,200,808,300,808,n/a
g20,800,4672,-27.55,728,663,800.2,5,859,50,824,100,842,200,832,300,859,n/a
g21,800,4667,-31.89,701,734,797.2,5,824,50,813,100,823,200,821,300,824,n/a
g22,2000,19990,10001.8,12402,12468,12946.2,5,12945,50,12936,100,12949,200,12958,300,12958,14123
g23,2000,19990,9997.19,12300,12431,12931.6,5,12927,50,12986,100,12951,200,12950,300,12986,14129
g24,2000,19990,9990.58,12361,12509,12955.2,5,12935,50,12969,100,12956,200,12949,300,12969,14131
g25,2000,19990,9994.42,12393,12483,12857.6,5,12925,50,12963,100,12941,200,12964,300,12964,n/a
g26,2000,19990,9999.46,12327,12441,12881.4,5,12932,50,12939,100,12966,200,12952,300,12966,n/a
g27,2000,19990,-14.37,2322,2385,2885.6,5,2887,50,2890,100,2913,200,2908,300,2913,n/a
g28,2000,19990,-57.29,2294,2393,2833.2,5,2875,50,2876,100,2924,200,2905,300,2924,n/a
g29,2000,19990,60.52,2369,2475,2934,5,2942,50,2959,100,2963,200,3005,300,3005,n/a
g30,2000,19990,52.29,2412,2479,2961.6,5,3014,50,2977,100,2987,200,2988,300,3014,n/a
g31,2000,19990,-41.92,2334,2315,2851.4,5,2864,50,2887,100,2934,200,2904,300,2934,n/a
g32,2000,4000,6.3,1026,1068,1194,5,1154,50,1180,100,1172,200,1182,300,1194,1560
g33,2000,4000,-16.32,1008,956,1182,5,1148,50,1156,100,1154,200,1166,300,1182,1537
g34,2000,4000,-26.72,980,1034,1186,5,1142,50,1132,100,1160,200,1146,300,1186,1541
g35,2000,11778,5897.52,7284,7335,7437,5,7474,50,7462,100,7479,200,7486,300,7486,8000
g36,2000,11766,5881.46,7222,7364,7434,5,7464,50,7460,100,7469,200,7473,300,7473,7996
g37,2000,11785,5889.13,7254,7326,7446.2,5,7467,50,7476,100,7484,200,7486,300,7486,8009
g38,2000,11779,5882.61,7231,7374,7431.2,5,7470,50,7470,100,7478,200,7491,300,7491,n/a
g39,2000,11778,9.78,1938,1637,2099.4,5,2067,50,2108,100,2113,200,2120,300,2120,n/a
g40,2000,11766,-57.36,1896,1690,2042.6,5,2063,50,2087,100,2083,200,2080,300,2087,n/a
g41,2000,11785,-10.54,1876,1745,2078.4,5,2085,50,2073,100,2092,200,2093,300,2093,n/a
g42,2000,11779,59.56,1967,1779,2144.6,5,2167,50,2162,100,2189,200,2181,300,2189,n/a
g43,1000,9990,4999.78,6172,6276,6450.2,5,6489,50,6501,100,6481,200,6477,300,6501,7027
g44,1000,9990,4993.56,6168,6235,6429.8,5,6460,50,6473,100,6477,200,6509,300,6509,7022
g45,1000,9990,4989.63,6200,6250,6463.8,5,6476,50,6464,100,6475,200,6466,300,6476,7020
g46,1000,9990,4992.74,6186,6275,6438.8,5,6479,50,6475,100,6474,200,6483,300,6483,n/a
g47,1000,9990,4999.23,6231,6293,6445.8,5,6500,50,6478,100,6499,200,6490,300,6500,n/a
g48,3000,6000,3002.46,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000,6000
g49,3000,6000,3005.02,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000,6000
g50,3000,6000,2999.94,5878,5822,5849.2,5,5850,50,5854,100,5852,200,5854,300,5878,5988
g51,1000,5909,2954.85,3623,3694,3717.4,5,3749,50,3760,100,3753,200,3753,300,3760,n/a
g52,1000,5916,2957.58,3632,3695,3729.4,5,3754,50,3758,100,3762,200,3759,300,3762,n/a
g53,1000,5914,2961.07,3651,3681,3725.2,5,3758,50,3750,100,3765,200,3761,300,3765,n/a
g54,1000,5916,2957.08,3633,3673,3722.4,5,3747,50,3751,100,3754,200,3754,300,3754,n/a
